,Tweets,subjectivity,polarity,analysis
17,rt wow roads china poor quality constructions cause many people die china every year qarmy rhtrades usmca aybar forex japanese javascript love virus mgros netas trudeaucorruption boycottchina,0.54,0.13999999999999999,Positive
18,rt camscanner banned india given pdf uploaded sub divisional officer pune scanned camscanner penal action using banned apps boycottchineseproduct boycottchina,0.1,0.1,Positive
19,rt watch latest video take current india vs china scenario indian citizen contribute help nation link bio podcastkarenge karengepodcast podcast india china indiavschina banchina boycottchina madeinindia atmanirbharbharat,0.65,0.25,Positive
20,rt fact china overpowered destroy international financial centre easily one able stop make china pay boycottchina stop using spy apps tiktok,0.2916666666666667,0.14666666666666667,Positive
21,still ready overtake china still running toward use alternative instead create makeinindia never successful change mindset beacreator beinnovator boycottchina,0.725,-0.0875,Negative
22,novartis fcpa enforcement action fines penalties cost recidivism bigpharma boycottnovartis followthemoney boycottchina,0.1,0.1,Positive
23,rt threat posed chinese government chinese communist party economic national security christopher wray director fbi chinesethreat usa ccpthreat nationalsecurity boycottchina fbidirector fbi gt,0.06666666666666667,0.06666666666666667,Positive
24,rt camscanner banned india given pdf uploaded sub divisional officer pune scanned camscanner penal action using banned apps boycottchineseproduct boycottchina,0.1,0.1,Positive
25,armyday camscanner banned india given pdf uploaded sub divisional officer pune scanned camscanner penal action using banned apps boycottchineseproduct boycottchina camscanner,0.1,0.1,Positive
26,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
27,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
28,camscanner banned india given pdf uploaded sub divisional officer pune scanned camscanner penal action using banned apps boycottchineseproduct boycottchina,0.1,0.1,Positive
29,46 countries decided fortify china genocide game wow china quick spreading diseases mind sickness worldwide un humanrights boycottchina humanity matters,0.6333333333333333,0.01111111111111109,Positive
30,rt boycottchina many forgetting getting diverted main goal aatmanirbharbharat boycott china possible encourage indian goods goods manufactured india destroying throwing chinese products swadeshifirst,0.36666666666666664,0.09333333333333332,Positive
31,camscanner banned india given pdf uploaded sub divisional officer pune scanned camscanner penal action using banned apps boycottchineseproduct boycottchina,0.1,0.1,Positive
32,camscanner banned india given pdf uploaded sub divisional officer pune scanned camscanner penal action using banned apps boycottchineseproduct boycottchina camscanner,0.1,0.1,Positive
33,like always said china never friend intention tainted make hell better option beware tibetans learned first hand boycottchina boycottchineseproducts istandwithindianarmy nepalindiaborder,0.41666666666666663,0.375,Positive
34,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
35,ccp spreading fake news free world must take evil empire china terrorist makechinapay boycottchina,0.9333333333333332,-0.3666666666666667,Negative
36,please please please watch new video chillichinanews boycottchina madeinindia like share comments amp subscribe channel,0.45454545454545453,0.13636363636363635,Positive
37,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
38,rt many companies voice loud intl issues blm environmental concerns etc stay low uyghurs inhumane situation police brutality hong kong hypocrites boycottchina infiltrates free world market,0.6599999999999999,0.019999999999999997,Positive
39,better stand support state policy juncture war like situation without comments amp r ur policy taken boycottchina pmmodi narendramodi,0.5,0.5,Positive
40,nice move america one live censorship surveillance ccp chinazi boycottchineseproduct boycottchina,0.75,0.36818181818181817,Positive
41,time really make changes boycottchina,0.2,0.2,Positive
42,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
43,gt china fault world isolating china bad behavior bully world china pay plagues come china never trust china boycottchina isolatechina chinesearethieves,0.6666666666666666,-0.6999999999999998,Negative
44,tiktokers talent go waste new app totally made india reduce dependence china start using indian apps support aatmanirbharbharat boycottchina boycottchineseproduct rizzle madeinindia downloadrizzle,0.40151515151515155,-0.02121212121212122,Negative
45,rt fact china overpowered destroy international financial centre easily one able stop make china pay boycottchina stop using spy apps tiktok,0.2916666666666667,0.14666666666666667,Positive
46,children china locked long 10 days internet addiction camp um reeducation camps china boycottchineseproducts boycottchina news,0.4,-0.05,Negative
47,jackie chan liu yifei mulan actress heroes real life heroes people stand justice protect weaks boycottchina boycottmulan,0.30000000000000004,0.2,Positive
48,rt real china police icantbreathe icantbreath boycottchineseproduct boycottchina,0.30000000000000004,0.2,Positive
49,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
50,rt boycott china protests heart new york city indian tibetan taiwanese communities via chinaindiafaceoff boycottchineseproduct boycottchina usa tibet taiwan,0.45454545454545453,0.13636363636363635,Positive
51,lt gt lots local brands chinese people love surely also want boycottadidas world boycottchina,0.37222222222222223,0.25,Positive
52,rt social beyond update india 753354 268279 464171 20804 updated 08 07 2020 19 47 26 boycottchina replaceit remove chinese apps download replace,0.03333333333333333,0.016666666666666666,Positive
53,rt app huge reliance key goods china major hurdle boycottchina movement many industrialists going chinafree gap significantly reduced coming years,0.755,0.2675,Positive
54,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
55,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
56,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
57,rt watch latest video take current india vs china scenario indian citizen contribute help nation link bio podcastkarenge karengepodcast podcast india china indiavschina banchina boycottchina madeinindia atmanirbharbharat,0.65,0.25,Positive
58,rt midst cold war boycottchina defundtheccp,1.0,-0.6,Negative
59,midst cold war boycottchina defundtheccp,1.0,-0.6,Negative
60,watch latest video take current india vs china scenario indian citizen contribute help nation link bio podcastkarenge karengepodcast podcast india china indiavschina banchina boycottchina madeinindia atmanirbharbharat,0.65,0.25,Positive
61,rt fact china overpowered destroy international financial centre easily one able stop make china pay boycottchina stop using spy apps tiktok,0.2916666666666667,0.14666666666666667,Positive
62,rt ccp probably already sent police hongkong control riots secret openly amazing standwithhongkong boycottchina,0.8,0.10000000000000003,Positive
63,chinese china destroy democracy freedom entire world soon democracy country like germany fight dictatorship stop china boycott china ccp terrorist boycottchina,0.20833333333333334,-0.06666666666666667,Negative
64,rt aderholt thank standwithhongkong unfailing support really encouraging keep fight hope world sees ccp evilness dire situation boycottchina,0.2,0.2,Positive
65,running fake sale also difference poco m2 redmi note 9 pro please stop fooling people boycottchina,1.0,-0.5,Negative
66,running fake sale also difference poco m2 redmi note 9 pro please stop fooling people boycottchina,1.0,-0.5,Negative
67,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
68,may still go jail gov wants even say nothing bad thinks michaels hostage diplomacy boycottchina boycottmulan,0.25555555555555554,-0.19999999999999996,Negative
69,exactly enough enough ignore anymore ccp needs held accountable inhumane genocide could promote hope equality peace country violates human rights 2022 olympic games beijing boycottchina freeuyghurs,0.5,-0.225,Negative
70,huge reliance key goods china major hurdle boycottchina movement many industrialists going chinafree gap significantly reduced coming years,0.755,0.2675,Positive
71,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
72,rt wow roads china poor quality constructions cause many people die china every year qarmy rhtrades usmca aybar forex japanese javascript love virus mgros netas trudeaucorruption boycottchina,0.54,0.13999999999999999,Positive
73,e thank voice ccp many leaders balls rise regime please maga bring jobs back americans make corporations right madeinusa boycottchina,0.3452380952380952,0.2619047619047619,Positive
74,rt powerful change agent world american consumer must stop supporting china time get together boycott chinese made goods force us companies rework manufacturing supply chains people boycottchinaproducts boycottchina,0.3125,0.1375,Positive
75,rt wow roads china poor quality constructions cause many people die china every year qarmy rhtrades usmca aybar forex japanese javascript love virus mgros netas trudeaucorruption boycottchina,0.54,0.13999999999999999,Positive
76,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
77,difficult next impossible work xi jinjackass ping sure dumbass even understands boycottchineseproduct boycottchina boycottchineseproducts china,0.7222222222222222,-0.16666666666666663,Negative
78,india shown world punish china economically countries following india china afraid india countries take lessons ban chinese goods products apps much possible boycottchina,0.58,-0.06,Negative
79,rt china crackdown international financial centre easily one stop global threat boycottchina,0.20833333333333334,0.10833333333333334,Positive
80,rt hong kong virus ccp tyranny much video agree standwithhongkong boycottchina,0.2,0.2,Positive
81,rt china crackdown international financial centre easily one stop global threat boycottchina,0.20833333333333334,0.10833333333333334,Positive
82,even flee china ccp give silencing safe place fightforfreedom boycottchina,0.5,0.5,Positive
83,want china free india means us never buy chinese products watch video subscribe like also share boycottchina,0.4,0.2,Positive
84,great brand born wrong country boycottchina,0.825,0.15000000000000002,Positive
85,59 chinese apps banned india unknown factz tiktok banned click link watch full video tiktokbanindia youtube tiktokbanned chineseappsblocked boycottchina boycottmadeinchina youtuber boycottchineseproduct,0.3833333333333333,0.08333333333333333,Positive
86,click join amp aware train dream project train success attend free online event vocalforlocal export import seminar importexport webinar boycottchina nochinese products service impexperts,0.35000000000000003,0.3166666666666667,Positive
87,rt uk threat suppression china way working way bully works evident instead apologizing world resorts threats boycottchina amp u bring chinaonitsknees chineseproductsindustbin,0.25,0.25,Positive
88,rt aderholt thank much standwithhongkong ccpsecuritylaw shown ccp great ambition goal stamp democracy hk across globe world must sanctionchina boycottchina order stop aggression,0.475,0.5,Positive
89,rt roettgen everyone tell ccp successfully creating fear atmosphere throughout globe means nsl matter everyone around world tolerate suppression human rights n freedom pls stand solidarity w us sanctionchina boycottchina,0.525,0.375,Positive
90,rt social update india 751768 267775 463126 20767 updated 08 07 2020 19 03 25 boycottchina replaceit remove chinese apps download replace,0.03333333333333333,0.016666666666666666,Positive
91,india reach openly support countries whose sovereignty challenged china let unite everyone chinese arrogance aggression need world free ccp pla amp china boycottchina boycottchineseproducts,0.43333333333333335,0.13333333333333333,Positive
92,rt know 5 10 downloaded apps india feb 2020 among chinese apps banned modi govt india hit china hurts china lost huge market india chineseappsblocked boycottchina modistrongestpmever indiachina,0.45,0.20000000000000004,Positive
93,banned google facebook twitter youtube netflix instagram amp many crying shitty app tiktok boycottchina,0.55,0.15,Positive
94,china crackdown international financial centre easily one stop global threat boycottchina,0.20833333333333334,0.10833333333333334,Positive
95,humourholic okay excuse mujhe boycottchina use karke desh ko bachaana hai,0.275,0.225,Positive
96,spyware social media app ban free world boycottchineseapps boycottchineseproducts boycottchina,0.43333333333333335,0.21666666666666667,Positive
97,boycottchina hello press boy pla much xitler paying troll hon president us mr trump trying see pay dedication,0.2,0.2,Positive
98,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
99,never trust pawn china decieved paid price corrupt officials world bear bubonicplague china chinesevirus19 request jist boycottchina stop kind relations china betterment world chinaliedpeopledied,0.95,0.04999999999999999,Positive
100,rt social update india 743481 265670 457058 20653 updated 08 07 2020 00 17 25 boycottchina replaceit remove chinese apps download replace,0.03333333333333333,0.016666666666666666,Positive
101,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
102,nazi china praising organisation means organisation worst lot boycottchina boycottwho,1.0,-1.0,Negative
103,rt uk threat suppression china way working way bully works evident instead apologizing world resorts threats boycottchina amp u bring chinaonitsknees chineseproductsindustbin,0.25,0.25,Positive
104,true comment thoughts fast follow free collaboration use adzatic post boycottchina boycottnepotism fun funnymemes realitytv reality usa india action lust tweetdaily mobileapps chineseapp fightback smo adzatic,0.47000000000000003,0.27,Positive
105,think instead boycottchineseproducts countries must unite boycottchina 2020 getting worst one disease named bubonicplague emerged china july 6th,1.0,-1.0,Negative
106,rt unprovoked attack chinese indian soil brave jawaans huge wake call clarion call action net import 400mn china annually pledge bring zero next 24 months boycottchina,0.3333333333333333,0.2166666666666667,Positive
107,every step counts boycottchina absolutely reason support enemy humanity money,0.9,0.2,Positive
108,come help spread chinese virus die less china fight also get organs ccp propaganda boycottchina,0.05555555555555556,-0.08888888888888889,Negative
109,rt many companies voice loud intl issues blm environmental concerns etc stay low uyghurs inhumane situation police brutality hong kong hypocrites boycottchina infiltrates free world market,0.6599999999999999,0.019999999999999997,Positive
110,rt social update india 746500 267103 458615 20684 updated 08 07 2020 15 25 28 boycottchina replaceit remove chinese apps download replace,0.03333333333333333,0.016666666666666666,Positive
111,boycottchina boycotallmadeinchinaproducts chinaistheenemy erase china planet expel chinese diplomats nations close chinese embassies around globe stop trading w china stop imports china cold turkey mention china,0.3333333333333333,-0.19999999999999998,Negative
112,people china ready release covid 20 dragon850 32 ram 1 5 tr hard boycottchina,0.5208333333333333,-0.04583333333333334,Negative
113,rt amp u fighting best data manipulation advertisement fooling people u expert making simple work challenging boycottmadeinchina boycottchina boycottkaranjohargang sushantsingrajput chineseproductsindustbin,0.5523809523809523,0.5,Positive
114,rt raw maibhisainik boycottchina gairola inc raw,0.46153846153846156,-0.23076923076923078,Negative
115,rt dolly ethnic genocide take actions late sanctionchina boycottchinaproducts boycottchina chinazi,0.6,-0.3,Negative
116,rt 20k families would become destitute soon china wants reduce population boycottmadeinchina boycottchina boycottkaranjohargang sushantsingrajput chineseproductsindustbin,0.1,0.2,Positive
117,rt days ago tiktok deleted 8 million reviews googleplay usa ban india already banned exiting china friends evil ccp come huge price standwithhongkong makechinapay boycottchina,0.95,-0.29999999999999993,Negative
118,rt aderholt thank standwithhongkong unfailing support really encouraging keep fight hope world sees ccp evilness dire situation boycottchina,0.2,0.2,Positive
119,rt uk threat suppression china way working way bully works evident instead apologizing world resorts threats boycottchina amp u bring chinaonitsknees chineseproductsindustbin,0.25,0.25,Positive
120,new song hindustani hu main support like share comment jai hind zeenews aajtak indianarmy hindicheenibyebye boycottchina indian pmmodi kejriwal narendermodi abpnews indiatv indianews gurrisingh,0.3939393939393939,0.1515151515151515,Positive
121,proof survey believe 49 want 100 boycottchina boycottchineseproducts boycottchineseapps know real position world raise voice boycottchinesefundedapps freetaiwan,0.30000000000000004,0.2,Positive
122,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
123,boycottchina looking madeintaiwan iphone find one india stands strong taiwan freetaiwan,0.7333333333333333,0.4333333333333333,Positive
124,rt wen united states looking banning chinese social media apps including tiktok secretary state boycottchina,0.03333333333333333,0.016666666666666666,Positive
125,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
126,rt fact china overpowered destroy international financial centre easily one able stop make china pay boycottchina stop using spy apps tiktok,0.2916666666666667,0.14666666666666667,Positive
127,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
128,rt roettgen please take good look hk stop ccp terrorist boycottchina soon possible make world becomes hk standwithhongkong,0.8,0.35,Positive
129,rt uk threat suppression china way working way bully works evident instead apologizing world resorts threats boycottchina amp u bring chinaonitsknees chineseproductsindustbin,0.25,0.25,Positive
130,rt shame china brutal immoral government world shi jinping politics bunch garbage leading world towards next world war shut china dirtiest chinese government shaneonchina boycottchina quadcountries,0.3333333333333333,-0.2916666666666667,Negative
131,rt fact china overpowered destroy international financial centre easily one able stop make china pay boycottchina stop using spy apps tiktok,0.2916666666666667,0.14666666666666667,Positive
132,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
133,rt days ago tiktok deleted 8 million reviews googleplay usa ban india already banned exiting china friends evil ccp come huge price standwithhongkong makechinapay boycottchina,0.95,-0.29999999999999993,Negative
134,rt shame china brutal immoral government world shi jinping politics bunch garbage leading world towards next world war shut china dirtiest chinese government shaneonchina boycottchina quadcountries,0.3333333333333333,-0.2916666666666667,Negative
135,amp china responsible 544k shut organizations hold responsibilities still favouring culprit country till take action china boycottchina,0.325,0.15000000000000002,Positive
136,please sanction ccpchina boycottchina stop harm whole world avoiding world becomes hk antichinazi standwithhongkong,0.4,0.2,Positive
137,rt fact china overpowered destroy international financial centre easily one able stop make china pay boycottchina stop using spy apps tiktok,0.2916666666666667,0.14666666666666667,Positive
138,us military stands india conflict china france australia russia america stands india usindia indiapushesbackchina china boycottchina boycottchineseproducts,0.1,-0.1,Negative
139,rt days ago tiktok deleted 8 million reviews googleplay usa ban india already banned exiting china friends evil ccp come huge price standwithhongkong makechinapay boycottchina,0.95,-0.29999999999999993,Negative
140,rt lol evil ccp found poor countries actually debtors support notorious law pathetic boycottchineseproducts boycottchina banchinaproducts banchina antichinazi chinais chinamustfall chinavirus standwithhongkong,0.6799999999999999,-0.32,Negative
141,rt totally confused argument argue bantiktok boycottchina enddogcatmeattrade,0.7,-0.4,Negative
142,totally confused argument argue bantiktok boycottchina enddogcatmeattrade,0.7,-0.4,Negative
143,need organization earth alarm humans calamity whole world suffering covid due sleepy nature nations including america boycott well china support uspresident boycottchina,0.3875,0.037500000000000006,Positive
144,rt 1t nike shoes disney doll find made purchase supporting slave labor factories china buy american fight slavery slavesnomore ccp ccpchina boycottchina wednesdaymorning wednesdaymotivation,0.125,0.125,Positive
145,rt fact china overpowered destroy international financial centre easily one able stop make china pay boycottchina stop using spy apps tiktok,0.2916666666666667,0.14666666666666667,Positive
146,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
147,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
148,rt uk threat suppression china way working way bully works evident instead apologizing world resorts threats boycottchina amp u bring chinaonitsknees chineseproductsindustbin,0.25,0.25,Positive
149,china ready launch another one boycottchina,0.5,0.2,Positive
150,going game changer boycottchineseproduct boycottchina,0.4,-0.4,Negative
151,nike shoes disney doll find made purchase supporting slave labor factories china buy american fight slavery slavesnomore ccp ccpchina boycottchina wednesdaymorning wednesdaymotivation,0.125,0.125,Positive
152,rt social vino update india 746514 266885 458844 20685 updated 08 07 2020 17 24 25 boycottchina replaceit remove chinese apps download replace,0.03333333333333333,0.016666666666666666,Positive
153,rt social update india 743481 265683 457045 20653 updated 07 07 2020 23 53 29 boycottchina replaceit remove chinese apps download replace,0.03333333333333333,0.016666666666666666,Positive
154,rt day 39 thought indian company read wikipedia bought iball keyboard behind keyboard saw information made prc rt tagging boycottmadeinchina boycottchineseproducts boycottchina,0.7,-0.4,Negative
155,try pimp urself china bought u long back boycottmadeinchina boycottchineseproduct boycottchina,0.2,-0.025,Negative
156,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
157,rt uk threat suppression china way working way bully works evident instead apologizing world resorts threats boycottchina amp u bring chinaonitsknees chineseproductsindustbin,0.25,0.25,Positive
158,rt shame china brutal immoral government world shi jinping politics bunch garbage leading world towards next world war shut china dirtiest chinese government shaneonchina boycottchina quadcountries,0.3333333333333333,-0.2916666666666667,Negative
159,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
160,china ashamed done world xi jinping used biological weapon virus disrupt economies ccp sponsoring propaganda war countries xi jinping bitten chew prosecutxijinping boycottchina freehongkong,0.1,-0.1,Negative
161,true hero hero set perfect example businesses consumers every citizens nation herocycles boycottchinaproducts boycottchina supportmadeinindia,0.825,0.675,Positive
162,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
163,threat suppression china way working way bully works evident instead apologizing world resorts threats boycottchina amp u bring chinaonitsknees chineseproductsindustbin,0.25,0.25,Positive
164,rt social update india 746514 267081 458650 20683 updated 08 07 2020 17 14 25 boycottchina replaceit remove chinese apps download replace,0.03333333333333333,0.016666666666666666,Positive
165,rt made china made concentration camps forced labor buy one less product day buy week boycott month one step time share agree madeinchina boycottchina,0.13333333333333333,-0.23333333333333334,Negative
166,rt china changing labeling made p r c boycottchina working hurting ccp success keep fighting,0.0,0.3,Positive
167,rt savegujaratnre atmanirbharbharat boycottchina sir kindly boycott china met coke amp give chance revival gujarat nre coke ltd stop liquidation process amp save jobs,0.9,0.6,Positive
168,rt social update india 746514 267081 458650 20683 updated 08 07 2020 17 14 25 boycottchina replaceit remove chinese apps download replace,0.03333333333333333,0.016666666666666666,Positive
169,rt savegujaratnre atmanirbharbharat boycottchina sir kindly boycott china met coke amp give chance revival gujarat nre coke ltd stop liquidation process amp save jobs,0.9,0.6,Positive
170,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
171,sorry indians never forget buy bullet soldier indians aggressively boycottchina boycottchineseproducts boycottmadeinchina,1.0,-0.5,Negative
172,criticizing chinese government illegal chinese law applies everyone world citizen therefore democracy hong kong fuck ccp going china get democracy boycottchina,0.275,-0.225,Negative
173,rt fact china overpowered destroy international financial centre easily one able stop make china pay boycottchina stop using spy apps tiktok,0.2916666666666667,0.14666666666666667,Positive
174,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
175,rt buy boycottchineseproducts virus borne television country killed 7 millions people till boycottchina grabbing lands countries hacking hongkongindependence uyghurgenocide rest world started hating virus,0.0,-0.2,Negative
176,rt savegujaratnre atmanirbharbharat boycottchina sir kindly boycott china met coke amp give chance revival gujarat nre coke ltd stop liquidation process amp save jobs,0.9,0.6,Positive
177,rt fact china overpowered destroy international financial centre easily one able stop make china pay boycottchina stop using spy apps tiktok,0.2916666666666667,0.14666666666666667,Positive
178,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
179,china boarder disputes every one fair china spreading chinesevirus thru world fair shitler pissing unemployment levels amp chinese mad rush bank withdraw money jai ho boycottchina campaign opinion ticktok,0.7,0.19374999999999998,Positive
180,rt look hard enough find non made china even minor things excuses help make world better place boycottchina boycottchineseproducts boycottchinaproducts,0.4354166666666666,0.03958333333333333,Positive
181,rt yes free tibet lead progress tibet adjoining indian states boycottchina freetibet,0.8,0.4,Positive
182,obviously ccp trustworthy lie every single day fightforfreedom ccp terrorist boycottchina,0.35714285714285715,-0.03571428571428571,Negative
183,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
184,rt u need look indian app promote sir u great fan following boycottchineseproducts boycottchina bantiktokinindia madeinindia makeinindia,0.425,0.4,Positive
185,rt go fight border best promise buy chinese products henceforth boycottchineseproduct boycottchina,0.15,0.5,Positive
186,rt china changing labeling made p r c boycottchina working hurting ccp success keep fighting,0.0,0.3,Positive
187,foreigners hk also threatening evil law tourists came hk also affected law security law sets everyone insecure fightforfreedomstandwithhk ccp terrorist boycottchina,0.9375,-0.75,Negative
188,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
189,tiktok sends dogecoin price 2 year high twitter says smart blockchain socialmedia cryptocurrency dogecoin tiktok dogecointiktokchallange boycottchina,0.5914285714285714,0.18714285714285714,Positive
190,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
191,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
192,chinese never fought real battle know fight one expanded territory stealth treachery ruthless oppression world stood silent boycottchineseproducts boycottchina,0.35000000000000003,-0.2,Negative
193,still feeling sad tiktok bhai behno getwellsoon self explanatory boycottchina,1.0,-0.5,Negative
194,rt social jivani update india 638039 232838 386736 18399 updated 03 07 2020 20 52 26 boycottchina replaceit remove chinese apps download replace,0.03333333333333333,0.016666666666666666,Positive
195,sky falling agree still tv channels including busy making money running ads chinese products businesses large chinese investments every five minutes boycottchineseproducts boycottmadeinchina boycottchina,0.18214285714285713,0.07857142857142857,Positive
196,true need imply real life twitter main nahi boycottchina reality main boycott karo,0.4041666666666667,0.22083333333333333,Positive
197,world must exercise social responsibility promoting slavery name communism oppression millions uyghurs tibetans largely lost world boycottchina freetibet,0.2476190476190476,0.1238095238095238,Positive
198,said support anyone supports china economically game changer greedy sob never buy one thought might burn gasoline lol boycottchina,0.55,0.2,Positive
